study,author,year,n_1,n_2,yi,paper,n_t
neuroscience,Sampath,2010,10,14,0.325657672,Sampath_2010,24
neuroscience,Caldji,1998,10,6,6.102189737,Caldji_1998,16
neuroscience,Caldji,1998,7,8,2.53269838,Caldji_1998,15
neuroscience,Wigger,1999,8,9,2.465491353,Wigger_1999,17
neuroscience,Wigger,1999,9,9,0.802581556,Wigger_1999,18
neuroscience,Wigger,1999,8,9,-0.047485139,Wigger_1999,17
neuroscience,Wigger,1999,9,9,-0.346506904,Wigger_1999,18
neuroscience,Lehmann,1999,12,12,-0.117941529,Lehmann_1999,24
neuroscience,Lehmann,1999,12,12,0.209729844,Lehmann_1999,24
neuroscience,Lehmann,1999,12,12,-0.635537428,Lehmann_1999,24
neuroscience,Lehmann,1999,12,12,-0.01698879,Lehmann_1999,24
neuroscience,Lehmann,1999,8,8,-0.074250487,Lehmann_1999,16
neuroscience,Lehmann,1999,8,8,0.448996503,Lehmann_1999,16
neuroscience,Lehmann,1999,8,8,1.008061917,Lehmann_1999,16
neuroscience,Lehmann,1999,8,8,0.222108044,Lehmann_1999,16
neuroscience,Caldji,2000,8,9,-0.474187774,Caldji_2000,17
neuroscience,Caldji,2000,9,9,-0.86894388,Caldji_2000,18
neuroscience,Huot,2001,12,13,3.172399572,Huot_2001,25
neuroscience,Shalev,2002,15,16,-0.095750617,Shalev_2002,31
neuroscience,Ploj,2002,13,13,-0.997397749,Ploj_2002,26
neuroscience,Huot RL,2002,4,6,4.223741063,Huot RL_2002,10
neuroscience,Huang,2002,8,9,-0.160225163,Huang_2002,17
neuroscience,Venerosi,2003,8,9,-0.73658149,Venerosi_2003,17
neuroscience,Bredy,2003,9,9,1.337067261,Bredy_2003,18
neuroscience,Bredy,2003,9,9,-0.381372655,Bredy_2003,18
neuroscience,Romeo,2003,11,18,0.747503526,Romeo_2003,29
neuroscience,Romeo,2003,5,8,-0.963933325,Romeo_2003,13
neuroscience,Romeo,2003,6,8,-0.257670061,Romeo_2003,14
neuroscience,Pryce,2003,8,8,0.253821595,Pryce_2003,16
neuroscience,Pryce,2003,8,8,-0.84174384,Pryce_2003,16
neuroscience,Pryce,2003,6,6,0.713618034,Pryce_2003,12
neuroscience,Pryce,2003,6,6,0.512340042,Pryce_2003,12
neuroscience,Pryce,2003,6,6,-0.914284765,Pryce_2003,12
neuroscience,Pryce,2003,6,6,-0.415432333,Pryce_2003,12
neuroscience,Pryce,2003,6,6,0.438441198,Pryce_2003,12
neuroscience,Pryce,2003,6,6,-0.863319495,Pryce_2003,12
neuroscience,Pryce,2003,6,6,0.247380126,Pryce_2003,12
neuroscience,Pryce,2003,6,6,-0.050213963,Pryce_2003,12
neuroscience,Barna,2003,9,9,-0.805712138,Barna_2003,18
neuroscience,Barna,2003,9,9,-0.070415178,Barna_2003,18
neuroscience,Barna,2003,10,10,1.973777617,Barna_2003,20
neuroscience,Barna,2003,10,10,0.618615836,Barna_2003,20
neuroscience,Parfitt,2004,25,15,0.125094285,Parfitt_2004,40
neuroscience,Zimmerberg,2004,6,6,-0.346420986,Zimmerberg_2004,12
neuroscience,Zimmerberg,2004,6,6,-0.365440727,Zimmerberg_2004,12
neuroscience,Zimmerberg,2004,6,6,-0.63636658,Zimmerberg_2004,12
neuroscience,Zimmerberg,2004,6,6,-0.024234576,Zimmerberg_2004,12
neuroscience,Ruedi-Bettschen,2005,8,8,0.025156295,Ruedi-Bettschen_2005,16
neuroscience,Ruedi-Bettschen,2005,8,8,-0.552129935,Ruedi-Bettschen_2005,16
neuroscience,Ruedi-Bettschen,2005,8,8,-0.16196671,Ruedi-Bettschen_2005,16
neuroscience,Ruedi-Bettschen,2005,8,8,0.921655536,Ruedi-Bettschen_2005,16
neuroscience,Ruedi-Bettschen,2005,8,8,-0.524351289,Ruedi-Bettschen_2005,16
neuroscience,Ruedi-Bettschen,2005,8,8,-0.567172638,Ruedi-Bettschen_2005,16
neuroscience,Ruedi-Bettschen,2005,8,8,-0.605158457,Ruedi-Bettschen_2005,16
neuroscience,Ruedi-Bettschen,2005,8,8,-0.442887422,Ruedi-Bettschen_2005,16
neuroscience,Ruedi-Bettschen,2005,8,8,-0.293033244,Ruedi-Bettschen_2005,16
neuroscience,Ruedi-Bettschen,2005,8,8,-0.86521287,Ruedi-Bettschen_2005,16
neuroscience,Ruedi-Bettschen,2005,8,8,0.723186691,Ruedi-Bettschen_2005,16
neuroscience,Ruedi-Bettschen,2005,8,8,0.134314957,Ruedi-Bettschen_2005,16
