source;stage;publication;doi;id;plot_id;confirmed_with_table?;notes;primary_outcome;figure_panel;measure;center;group;subgroup;group_es;mean;sem;sd;sample_size;additional_notes;mean_difference;pooled_sd;J;hedges_g;se_g;EU;score_incl_excl_criteria;notes_incl_excl_criteria;score_controls_usage;notes_controls_usage;score_randomization;notes_randomization;score_blinding;notes_blinding;iv_score
Hunningford Paper;Exploratory;Modi, 2018;https://doi.org/10.3389/fnmol.2018.00107;1;1;x;;open-field test- rearing;3B;# rearing events in 30-minute PhenoTyper;;wt;;ctrl;173,61;22,89;75,92925612;11;;-216,53;118,0578296;0,962025316;-1,764486116;0,502570919;22;1;>8 weeks of age  singly housed male;1;no intervention, WT used for reference;1;mentioned randomization for pharmacologic modulation at behavioral studies;0;not mentioned;3
;Exploratory;Modi, 2018;https://doi.org/10.3389/fnmol.2018.00107;1;1;x;;open-field test- rearing;3B;# rearing events in 30-minute PhenoTyper;;ko;;treated;390,14;44,83;148,6944865;11;;;;;;;;;;;;;;;;
Hunningford Paper;Exploratory;Meng, 2011;Dose-dependent neurorestorative effects of delayed treatment of traumatic brain injury with recombinant human erythropoietin in rats - PMC;2;;;;Spatial learning (MWM);Fig. 2A;% time in correct quadrant (NE);Henry Ford (Detroit);Sham;;;;;;8;different experiments;;;;;;;;;;;;;;;
Hunningford Paper;Exploratory;Meng, 2011;Dose-dependent neurorestorative effects of delayed treatment of traumatic brain injury with recombinant human erythropoietin in rats - PMC;2;;;;;;;;TBI + saline;;;31,84600495;;3,356367701;8;different experiments;;;;;;;;;;;;;;;
Hunningford Paper;Exploratory;Meng, 2011;Dose-dependent neurorestorative effects of delayed treatment of traumatic brain injury with recombinant human erythropoietin in rats - PMC;2;;;;;;;;TBI + EPO 1000 U/kg;;;;;;8;different experiments;;;;;;;;;;;;;;;
Hunningford Paper;Exploratory;Meng, 2011;Dose-dependent neurorestorative effects of delayed treatment of traumatic brain injury with recombinant human erythropoietin in rats - PMC;2;;;;;;;;TBI + EPO 3000 U/kg;;;;;;8;different experiments;;;;;;;;;;;;;;;
Hunningford Paper;Exploratory;Meng, 2011;Dose-dependent neurorestorative effects of delayed treatment of traumatic brain injury with recombinant human erythropoietin in rats - PMC;2;;;;;;;;TBI + EPO 5000 U/kg;;;55,53800637;;2,714710067;8;different experiments;;;;;;;;;;;;;;;
Hunningford Paper;Exploratory;Meng, 2011;Dose-dependent neurorestorative effects of delayed treatment of traumatic brain injury with recombinant human erythropoietin in rats - PMC;2;;;;;;;;TBI + EPO 7000 U/kg;;;;;;8;different experiments;;;;;;;;;;;;;;;
Hunningford Paper;Exploratory;Wang, 2006;https://doi.org/10.1385/NCC:5:1:71;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hunningford Paper;Exploratory;Crabbe, 1996;https://doi.org/10.1038/ng0996-98;4;;;;Ethanol consumption;Fig1;g/kg/day at 20% EtOH;Portland;WT;;;2,459458874;0,38;1,92936205;26;;-2,82;2,21360081;0,984924623;-1,253321108;0,303359615;52;1;included gender pooled, 52-58 d old mice;2;pos and neg used in withdrawal exp (not 1ry outcome);0;na;0;na;3
