validity;aspect;detail;phase;score;max_score;project_letter
IV;Randomization;Group allocation;Exploratory Stage;1;1;A
IV;Randomization;Group allocation;Confirmatory Stage;1;1;A
IV;Randomization;Intervention giving;Exploratory Stage;0;1;A
IV;Randomization;Intervention giving;Confirmatory Stage;1;1;A
IV;Randomization;Data analysis scoring;Exploratory Stage;0;1;A
IV;Randomization;Data analysis scoring;Confirmatory Stage;0;1;A
IV;Randomization;Randomization method;Exploratory Stage;1;2;A
IV;Randomization;Randomization method;Confirmatory Stage;2;2;A
IV;Blinding;Group allocation;Exploratory Stage;0;1;A
IV;Blinding;Group allocation;Confirmatory Stage;1;1;A
IV;Blinding;Intervention giving;Exploratory Stage;1;1;A
IV;Blinding;Intervention giving;Confirmatory Stage;1;1;A
IV;Blinding;Outcome assessment;Exploratory Stage;1;1;A
IV;Blinding;Outcome assessment;Confirmatory Stage;1;1;A
IV;Blinding;Data analysis;Exploratory Stage;1;1;A
IV;Blinding;Data analysis;Confirmatory Stage;1;1;A
IV;Controls;Negative control;Exploratory Stage;1;1;A
IV;Controls;Negative control;Confirmatory Stage;1;1;A
IV;Controls;Positive control;Exploratory Stage;0;1;A
IV;Controls;Positive control;Confirmatory Stage;0;1;A
IV;Controls;Comparator;Exploratory Stage;0;1;A
IV;Controls;Comparator;Confirmatory Stage;0;1;A
IV;Controls;Sham mock naive;Exploratory Stage;0.5;1;A
IV;Controls;Sham mock naive;Confirmatory Stage;0.5;1;A
IV;Population;Inclusion criteria;Exploratory Stage;1;1;A
IV;Population;Inclusion criteria;Confirmatory Stage;1;1;A
IV;Population;Exclusion criteria;Exploratory Stage;0;1;A
IV;Population;Exclusion criteria;Confirmatory Stage;1;1;A
EV;Multi-Lab;Multi lab approach;Exploratory Stage;0;1;A
EV;Multi-Lab;Multi lab approach;Confirmatory Stage;1;1;A
EV;Population;Age;Exploratory Stage;1;2;A
EV;Population;Age;Confirmatory Stage;1;2;A
EV;Population;Sex;Exploratory Stage;1;2;A
EV;Population;Sex;Confirmatory Stage;2;2;A
EV;Population;Health status;Exploratory Stage;1;2;A
EV;Population;Health status;Confirmatory Stage;1;2;A
SV;Statistics;Power calculation;Exploratory Stage;0;1;A
SV;Statistics;Power calculation;Confirmatory Stage;1;1;A
SV;Statistics;Outcome a priori;Exploratory Stage;1;1;A
SV;Statistics;Outcome a priori;Confirmatory Stage;1;1;A
SV;Statistics;Statistical advice;Exploratory Stage;0;1;A
SV;Statistics;Statistical advice;Confirmatory Stage;1;1;A
TV;Model;Species;Exploratory Stage;1;2;A
TV;Model;Species;Confirmatory Stage;1;2;A
TV;Model;Strain;Exploratory Stage;1;2;A
TV;Model;Strain;Confirmatory Stage;1;2;A
TV;Disease;Disease simulation;Exploratory Stage;1;2;A
TV;Disease;Disease simulation;Confirmatory Stage;1;2;A
TV;Disease;Outcome readout;Exploratory Stage;0;1;A
TV;Disease;Outcome readout;Confirmatory Stage;0;1;A
TV;Intervention;Scheme;Exploratory Stage;1;1;A
TV;Intervention;Scheme;Confirmatory Stage;1;1;A
IV;Randomization;Group allocation;Exploratory Stage;1;1;H
IV;Randomization;Group allocation;Confirmatory Stage;1;1;H
IV;Randomization;Intervention giving;Exploratory Stage;0;1;H
IV;Randomization;Intervention giving;Confirmatory Stage;0;1;H
IV;Randomization;Data analysis scoring;Exploratory Stage;0;1;H
IV;Randomization;Data analysis scoring;Confirmatory Stage;0;1;H
IV;Randomization;Randomization method;Exploratory Stage;2;2;H
IV;Randomization;Randomization method;Confirmatory Stage;2;2;H
IV;Blinding;Group allocation;Exploratory Stage;1;1;H
IV;Blinding;Group allocation;Confirmatory Stage;1;1;H
IV;Blinding;Intervention giving;Exploratory Stage;1;1;H
IV;Blinding;Intervention giving;Confirmatory Stage;1;1;H
IV;Blinding;Outcome assessment;Exploratory Stage;1;1;H
IV;Blinding;Outcome assessment;Confirmatory Stage;1;1;H
IV;Blinding;Data analysis;Exploratory Stage;0;1;H
IV;Blinding;Data analysis;Confirmatory Stage;1;1;H
IV;Controls;Negative control;Exploratory Stage;1;1;H
IV;Controls;Negative control;Confirmatory Stage;1;1;H
IV;Controls;Positive control;Exploratory Stage;1;1;H
IV;Controls;Positive control;Confirmatory Stage;1;1;H
IV;Controls;Comparator;Exploratory Stage;0;1;H
IV;Controls;Comparator;Confirmatory Stage;0;1;H
IV;Controls;Sham mock naive;Exploratory Stage;0;1;H
IV;Controls;Sham mock naive;Confirmatory Stage;0;1;H
IV;Population;Inclusion criteria;Exploratory Stage;1;1;H
IV;Population;Inclusion criteria;Confirmatory Stage;1;1;H
IV;Population;Exclusion criteria;Exploratory Stage;1;1;H
IV;Population;Exclusion criteria;Confirmatory Stage;1;1;H
EV;Multi-Lab;Multi lab approach;Exploratory Stage;0;1;H
EV;Multi-Lab;Multi lab approach;Confirmatory Stage;1;1;H
EV;Population;Age;Exploratory Stage;1;2;H
EV;Population;Age;Confirmatory Stage;1;2;H
EV;Population;Sex;Exploratory Stage;1;2;H
EV;Population;Sex;Confirmatory Stage;1;2;H
EV;Population;Health status;Exploratory Stage;1;2;H
EV;Population;Health status;Confirmatory Stage;1;2;H
SV;Statistics;Power calculation;Exploratory Stage;0;1;H
SV;Statistics;Power calculation;Confirmatory Stage;1;1;H
SV;Statistics;Outcome a priori;Exploratory Stage;1;1;H
SV;Statistics;Outcome a priori;Confirmatory Stage;1;1;H
SV;Statistics;Statistical advice;Exploratory Stage;0;1;H
SV;Statistics;Statistical advice;Confirmatory Stage;1;1;H
TV;Model;Species;Exploratory Stage;1;2;H
TV;Model;Species;Confirmatory Stage;1;2;H
TV;Model;Strain;Exploratory Stage;1;2;H
TV;Model;Strain;Confirmatory Stage;1;2;H
TV;Disease;Disease simulation;Exploratory Stage;1;2;H
TV;Disease;Disease simulation;Confirmatory Stage;1;2;H
TV;Disease;Outcome readout;Exploratory Stage;0;1;H
TV;Disease;Outcome readout;Confirmatory Stage;0;1;H
TV;Intervention;Scheme;Exploratory Stage;1;1;H
TV;Intervention;Scheme;Confirmatory Stage;1;1;H
IV;Randomization;Group allocation;Exploratory Stage;1;1;G
IV;Randomization;Group allocation;Confirmatory Stage;1;1;G
IV;Randomization;Intervention giving;Exploratory Stage;0;1;G
IV;Randomization;Intervention giving;Confirmatory Stage;0;1;G
IV;Randomization;Data analysis scoring;Exploratory Stage;0;1;G
IV;Randomization;Data analysis scoring;Confirmatory Stage;0;1;G
IV;Randomization;Randomization method;Exploratory Stage;2;2;G
IV;Randomization;Randomization method;Confirmatory Stage;2;2;G
IV;Blinding;Group allocation;Exploratory Stage;1;1;G
IV;Blinding;Group allocation;Confirmatory Stage;1;1;G
IV;Blinding;Intervention giving;Exploratory Stage;1;1;G
IV;Blinding;Intervention giving;Confirmatory Stage;1;1;G
IV;Blinding;Outcome assessment;Exploratory Stage;1;1;G
