"project_id","stage","dataset","iv_score","group"
"A","Exploratory","DECIDE",5,"DECIDE - Exploratory"
"A","Multi_lab","DECIDE",7,"DECIDE - Confirmatory"
"H","Exploratory","DECIDE",8,"DECIDE - Exploratory"
"H","Multi_lab","DECIDE",8,"DECIDE - Confirmatory"
"G","Exploratory","DECIDE",7,"DECIDE - Exploratory"
"G","Multi_lab","DECIDE",8,"DECIDE - Confirmatory"
"J","Exploratory","DECIDE",2,"DECIDE - Exploratory"
"J","Multi_lab","DECIDE",7,"DECIDE - Confirmatory"
"B","Exploratory","DECIDE",5,"DECIDE - Exploratory"
"B","Multi_lab","DECIDE",8,"DECIDE - Confirmatory"
"C","Exploratory","DECIDE",1,"DECIDE - Exploratory"
"C","Multi_lab","DECIDE",8,"DECIDE - Confirmatory"
"D","Exploratory","DECIDE",6,"DECIDE - Exploratory"
"D","Multi_lab","DECIDE",7,"DECIDE - Confirmatory"
"I","Exploratory","DECIDE",1,"DECIDE - Exploratory"
"I","Multi_lab","DECIDE",7,"DECIDE - Confirmatory"
"E","Exploratory","DECIDE",5,"DECIDE - Exploratory"
"E","Multi_lab","DECIDE",8,"DECIDE - Confirmatory"
"K","Exploratory","DECIDE",3,"DECIDE - Exploratory"
"K","Multi_lab","DECIDE",7,"DECIDE - Confirmatory"
"F","Exploratory","DECIDE",4,"DECIDE - Exploratory"
"F","Multi_lab","DECIDE",8,"DECIDE - Confirmatory"
"1","Exploratory","retrospective",3,"retrospective - Exploratory"
"2","Exploratory","retrospective",3,"retrospective - Exploratory"
"3","Exploratory","retrospective",2,"retrospective - Exploratory"
"4","Exploratory","retrospective",2,"retrospective - Exploratory"
"6","Exploratory","retrospective",5,"retrospective - Exploratory"
"1","Multi_lab","retrospective",5,"retrospective - Multi_lab"
"2","Multi_lab","retrospective",3,"retrospective - Multi_lab"
"3","Multi_lab","retrospective",6.5,"retrospective - Multi_lab"
"4","Multi_lab","retrospective",6,"retrospective - Multi_lab"
"6","Multi_lab","retrospective",5,"retrospective - Multi_lab"
"7","Exploratory","retrospective",2,"retrospective - Exploratory"
"7","Multi_lab","retrospective",3,"retrospective - Multi_lab"
"8","Exploratory","retrospective",4,"retrospective - Exploratory"
"9","Exploratory","retrospective",5,"retrospective - Exploratory"
"8","Multi_lab","retrospective",3,"retrospective - Multi_lab"
"9","Multi_lab","retrospective",6,"retrospective - Multi_lab"
